"date","metrics","value"
"20161212","35",291.105263157895
"20161211","1",155.130434782609
"20161211","2",139.869565217391
"20161211","3",134.478260869565
"20161211","4",157
"20161211","5",134.913043478261
"20161211","6",163.608695652174
"20161211","7",117.217391304348
"20161211","8",136.173913043478
"20161211","9",97.6521739130435
"20161211","10",156.04347826087
"20161211","11",138.260869565217
"20161211","12",115.95652173913
"20161211","13",161.130434782609
"20161211","14",200.347826086957
"20161211","15",148.652173913043
"20161211","16",173
"20161211","17",117.434782608696
"20161211","18",112.304347826087
"20161211","19",109.608695652174
"20161211","20",92.4347826086957
"20161211","21",65.2608695652174
"20161211","22",68.9130434782609
"20161211","23",120.347826086957
"20161211","24",107.565217391304
"20161211","25",100.565217391304
"20161211","26",44.0869565217391
"20161211","27",89.695652173913
"20161211","28",241.434782608696
"20161211","29",228.434782608696
"20161211","30",224.95652173913
"20161211","31",158.173913043478
"20161211","32",161.652173913043
"20161211","33",143.954545454545
"20161211","34",171.347826086957
"20161211","35",180.347826086957
"20161210","1",61.9166666666667
"20161210","2",57.375
"20161210","3",55.625
"20161210","4",60.1666666666667
"20161210","5",56.7916666666667
"20161210","6",60.125
"20161210","7",61.2916666666667
"20161210","8",74.0416666666667
"20161210","9",44.7083333333333
"20161210","10",77.875
"20161210","11",64.8333333333333
"20161210","12",61.7916666666667
"20161210","13",78.6666666666667
"20161210","14",109
"20161210","15",70.5833333333333
"20161210","16",74.4166666666667
"20161210","17",56.5833333333333
"20161210","18",54.9166666666667
"20161210","19",59.2083333333333
"20161210","20",44.125
"20161210","21",31.5416666666667
"20161210","22",37.0416666666667
"20161210","23",81.7916666666667
"20161210","24",46.875
"20161210","25",52.2916666666667
"20161210","26",17.1666666666667
"20161210","27",40.0416666666667
"20161210","28",108.708333333333
"20161210","29",143.875
"20161210","30",129.041666666667
"20161210","31",63.125
"20161210","32",62.7727272727273
"20161210","33",62.7083333333333
"20161210","34",69.625
"20161210","35",67.5833333333333
"20161209","1",57.9523809523809
"20161209","2",57.2857142857143
"20161209","3",54.7619047619048
"20161209","4",56.5238095238095
"20161209","5",50.4285714285714
"20161209","6",55.3809523809524
"20161209","7",50
"20161209","8",49.4285714285714
"20161209","9",40.2857142857143
"20161209","10",60.1428571428571
"20161209","11",57.3333333333333
"20161209","12",60.4761904761905
"20161209","13",63.6190476190476
"20161209","14",63.3809523809524
"20161209","15",56
"20161209","16",63.5238095238095
"20161209","17",54.8095238095238
"20161209","18",50.8095238095238
"20161209","19",52.1428571428571
"20161209","20",50.5714285714286
"20161209","21",38.8095238095238
"20161209","22",43.9523809523809
"20161209","23",44.0952380952381
"20161209","24",38.2380952380952
"20161209","25",49.2380952380952
"20161209","26",38.9523809523809
"20161209","27",52.1428571428571
"20161209","28",57.3809523809524
"20161209","29",88.2857142857143
"20161209","30",93.5714285714286
"20161209","31",57.7619047619048
"20161209","32",54.55
"20161209","33",62.0476190476191
"20161209","34",62.2380952380952
"20161209","35",55.9047619047619
"20161208","1",206.130434782609
"20161208","2",194.217391304348
"20161208","3",198.173913043478
"20161208","4",211.130434782609
"20161208","5",193.130434782609
"20161208","6",196.347826086957
"20161208","7",181.695652173913
"20161208","8",168.681818181818
"20161208","9",157.347826086957
"20161208","10",228.782608695652
"20161208","11",205
"20161208","12",201
"20161208","13",222.913043478261
"20161208","14",228.086956521739
"20161208","15",187.434782608696
"20161208","16",155.652173913043
"20161208","17",159.478260869565
"20161208","18",141.782608695652
"20161208","19",147.565217391304
"20161208","20",148.826086956522
"20161208","21",140.652173913043
"20161208","22",145.565217391304
"20161208","23",86.7391304347826
"20161208","24",117.869565217391
"20161208","25",70.0434782608696
"20161208","26",125.260869565217
"20161208","27",137.347826086957
"20161208","28",197.086956521739
"20161208","29",263.95652173913
"20161208","30",281.695652173913
"20161208","31",204.521739130435
"20161208","32",212.521739130435
"20161208","33",203.782608695652
"20161208","34",224.173913043478
"20161208","35",202.391304347826
"20161207","1",165.708333333333
"20161207","2",158.136363636364
"20161207","3",150.583333333333
"20161207","4",162.666666666667
"20161207","5",159.375
"20161207","6",175.375
"20161207","7",127.333333333333
"20161207","8",145.166666666667
"20161207","9",86.5833333333333
"20161207","10",168.541666666667
"20161207","11",140.083333333333
"20161207","12",115.958333333333
"20161207","13",154.478260869565
"20161207","14",221.739130434783
"20161207","15",187.391304347826
"20161207","16",120.478260869565
"20161207","17",143.130434782609
"20161207","18",102.478260869565
"20161207","19",91.1739130434783
"20161207","20",126.391304347826
"20161207","21",99.0476190476191
"20161207","22",99.6086956521739
"20161207","23",52.4347826086956
"20161207","24",67.3913043478261
"20161207","25",55.5217391304348
"20161207","26",68.1304347826087
"20161207","27",134.95652173913
"20161207","28",318.782608695652
"20161207","29",360.608695652174
"20161207","30",206.086956521739
"20161207","31",169.869565217391
"20161207","32",182
"20161207","33",154.608695652174
"20161207","34",184.695652173913
"20161207","35",196.954545454545
"20161206","1",69.0833333333333
"20161206","2",66.4166666666667
"20161206","3",67.8333333333333
"20161206","4",66.0416666666667
"20161206","5",62.3333333333333
"20161206","6",66.7916666666667
"20161206","7",63.6521739130435
"20161206","8",79.3913043478261
"20161206","9",43.9473684210526
"20161206","10",71.9166666666667
"20161206","11",65.8333333333333
"20161206","12",63.5
"20161206","13",74.2083333333333
"20161206","14",89.875
"20161206","15",71.75
"20161206","16",75.0833333333333
"20161206","17",72.4166666666667
"20161206","18",60.0416666666667
"20161206","19",58.625
"20161206","20",60.4583333333333
"20161206","21",46.1666666666667
"20161206","22",43.6666666666667
"20161206","23",49.1666666666667
"20161206","24",49.6666666666667
"20161206","25",62.3913043478261
"20161206","26",26.3529411764706
"20161206","27",64.9583333333333
"20161206","28",142.125
"20161206","29",126.75
"20161206","30",115.208333333333
"20161206","31",70.4782608695652
"20161206","32",71.4583333333333
"20161206","33",68.2083333333333
"20161206","34",78.6666666666667
"20161206","35",85.6666666666667
"20161205","1",183.913043478261
"20161205","2",186.260869565217
"20161205","3",191
"20161205","4",199.782608695652
"20161205","5",185.869565217391
"20161205","6",188.652173913043
"20161205","7",169.782608695652
"20161205","8",176.565217391304
"20161205","9",144.434782608696
"20161205","10",194.695652173913
"20161205","11",192.04347826087
"20161205","12",182.782608695652
"20161205","13",215.782608695652
"20161205","14",240.478260869565
"20161205","15",213.217391304348
"20161205","16",208.739130434783
"20161205","17",228.727272727273
"20161205","18",136.826086956522
"20161205","19",137.434782608696
"20161205","20",224.521739130435
"20161205","21",153.913043478261
"20161205","22",168.260869565217
"20161205","23",156.608695652174
"20161205","24",99.8260869565217
"20161205","25",107
"20161205","26",130
"20161205","27",257
"20161205","28",355.565217391304
"20161205","29",271.826086956522
"20161205","30",295.652173913043
"20161205","31",193.95652173913
"20161205","32",204.695652173913
"20161205","33",189.782608695652
"20161205","34",209.04347826087
"20161205","35",211.826086956522
"20161204","1",387.5
"20161204","2",359.833333333333
"20161204","3",353.125
"20161204","4",391.833333333333
"20161204","5",375.458333333333
"20161204","6",392.5
"20161204","7",293.583333333333
"20161204","8",221.791666666667
"20161204","9",211.25
"20161204","10",341.75
"20161204","11",319.708333333333
"20161204","12",277.5
"20161204","13",310.708333333333
"20161204","14",428.478260869565
"20161204","15",375.208333333333
"20161204","16",408.958333333333
"20161204","17",351.083333333333
"20161204","18",218.25
"20161204","19",180.083333333333
"20161204","20",335.083333333333
"20161204","21",254.166666666667
"20161204","22",262.416666666667
"20161204","23",206.625
"20161204","24",167.541666666667
"20161204","25",134.916666666667
"20161204","26",237.55
"20161204","27",384.708333333333
"20161204","28",489.083333333333
"20161204","29",447.666666666667
"20161204","30",375.208333333333
"20161204","31",394.041666666667
"20161204","32",393
"20161204","33",367.125
"20161204","34",403.291666666667
"20161204","35",409.25
"20161203","1",204.333333333333
"20161203","2",200.541666666667
"20161203","3",184.291666666667
"20161203","4",215.666666666667
"20161203","5",167.25
"20161203","6",217.5
"20161203","7",157.291666666667
"20161203","8",162.375
"20161203","9",121.333333333333
"20161203","10",213.041666666667
"20161203","11",183.375
"20161203","12",152.291666666667
"20161203","13",205.416666666667
"20161203","14",311.083333333333
"20161203","15",245.833333333333
"20161203","16",261.666666666667
"20161203","17",144.458333333333
"20161203","18",134.583333333333
"20161203","19",112.916666666667
"20161203","20",167.416666666667
"20161203","21",107.666666666667
"20161203","22",109.583333333333
"20161203","23",138.833333333333
"20161203","24",118.541666666667
"20161203","25",89.875
"20161203","26",74.3478260869565
"20161203","27",242.708333333333
"20161203","28",340.041666666667
"20161203","29",342.291666666667
"20161203","30",273.25
"20161203","31",208.791666666667
"20161203","32",221.666666666667
"20161203","33",180.75
"20161203","34",231.416666666667
"20161203","35",224.666666666667
"20161202","1",98.2083333333333
"20161202","2",97.9166666666667
"20161202","3",96.375
"20161202","4",113.541666666667
"20161202","5",79.0833333333333
"20161202","6",98.1304347826087
"20161202","7",92.625
"20161202","8",101.875
"20161202","9",69.2916666666667
"20161202","10",126.666666666667
"20161202","11",111.666666666667
"20161202","12",92.6666666666667
"20161202","13",149.833333333333
"20161202","14",175.541666666667
"20161202","15",121.666666666667
"20161202","16",113.833333333333
"20161202","17",53.375
"20161202","18",68.5416666666667
"20161202","19",72.625
"20161202","20",64.875
"20161202","21",41.7916666666667
"20161202","22",46.0833333333333
"20161202","23",75.4583333333333
"20161202","24",50.625
"20161202","25",56.2857142857143
"20161202","26",26.4347826086957
"20161202","27",96.25
"20161202","28",163.5
"20161202","29",208.416666666667
"20161202","30",260.416666666667
"20161202","31",106.958333333333
"20161202","32",111.791666666667
"20161202","33",91.1739130434783
"20161202","34",127.347826086957
"20161202","35",98.9583333333333
"20161201","1",67.75
"20161201","2",73.0416666666667
"20161201","3",68.8333333333333
"20161201","4",79.75
"20161201","5",65.0416666666667
"20161201","6",62.625
"20161201","7",65.1666666666667
"20161201","8",81.6666666666667
"20161201","9",29.5
"20161201","10",81.2916666666667
"20161201","11",79.875
"20161201","12",74.75
"20161201","13",113.173913043478
"20161201","14",88.875
"20161201","15",81.75
"20161201","16",81.3636363636364
"20161201","17",65.125
"20161201","18",57.4583333333333
"20161201","19",62.4347826086956
"20161201","20",69.625
"20161201","21",56.2916666666667
"20161201","22",64.25
"20161201","23",45.625
"20161201","24",42.2083333333333
"20161201","26",49.75
"20161201","27",78.5833333333333
"20161201","28",102.666666666667
"20161201","29",215.916666666667
"20161201","30",261.666666666667
"20161201","31",73.7083333333333
"20161201","32",75.25
"20161201","33",67.9166666666667
"20161201","34",84.6818181818182
"20161201","35",76.8333333333333
"20161130","1",137
"20161130","2",136.208333333333
"20161130","3",154.541666666667
"20161130","4",151.75
"20161130","5",156.083333333333
"20161130","6",123.238095238095
"20161130","7",161.875
"20161130","8",203.125
"20161130","9",133.631578947368
"20161130","10",172.916666666667
"20161130","11",170.875
"20161130","12",169.791666666667
"20161130","13",208.833333333333
"20161130","14",176.380952380952
"20161130","15",120.954545454545
"20161130","16",122.041666666667
"20161130","17",130.541666666667
"20161130","18",151
"20161130","19",166.5
"20161130","20",126.875
"20161130","21",117
"20161130","22",124.708333333333
"20161130","23",130.708333333333
"20161130","24",127.75
"20161130","26",112.041666666667
"20161130","27",118
"20161130","28",182.583333333333
"20161130","29",267.666666666667
"20161130","30",256.809523809524
"20161130","31",148
"20161130","32",143.47619047619
"20161130","33",157.625
"20161130","34",151.421052631579
"20161130","35",141.958333333333
"20161129","1",114
"20161129","2",108.083333333333
