"type","date","metrics","value"
"CO","20181228","23",0.454166666666667
"NO2","20181228","23",12.0416666666667
"O3","20181228","23",59.625
"SO2","20181228","23",11.7916666666667
"CO","20181228","24",0.291304347826087
"NO2","20181228","24",5.43478260869565
"O3","20181228","24",49.9565217391304
"SO2","20181228","24",5.04347826086957
"CO","20181228","25",0.334782608695652
"NO2","20181228","25",16.2608695652174
"O3","20181228","25",42.9130434782609
"SO2","20181228","25",6.34782608695652
"CO","20181228","26",0.195454545454545
"NO2","20181228","26",3.82608695652174
"O3","20181228","26",65.1739130434783
"SO2","20181228","26",1.8695652173913
"CO","20181228","27",0.218181818181818
"NO2","20181228","27",7.85714285714286
"O3","20181228","27",43.0952380952381
"SO2","20181228","27",1.77272727272727
"CO","20181228","28",0.975
"NO2","20181228","28",23.1666666666667
"O3","20181228","28",39.9130434782609
"SO2","20181228","28",3.54166666666667
"CO","20181228","29",0.3625
"NO2","20181228","29",18.2916666666667
"O3","20181228","29",35.4583333333333
"SO2","20181228","29",4.54166666666667
"CO","20181228","30",0.517391304347826
"NO2","20181228","30",28.2857142857143
"O3","20181228","30",20.5217391304348
"SO2","20181228","30",3.26086956521739
"CO","20181228","31",0.404166666666667
"NO2","20181228","31",23.4166666666667
"O3","20181228","31",76.4545454545455
"SO2","20181228","31",3.91666666666667
"CO","20181228","32",0.382608695652174
"NO2","20181228","32",15.5217391304348
"O3","20181228","32",33.5454545454545
"SO2","20181228","32",8.26086956521739
"CO","20181228","33",0.4
"NO2","20181228","33",33.5217391304348
"O3","20181228","33",35.1739130434783
"SO2","20181228","33",3.30434782608696
"CO","20181228","34",0.4125
"NO2","20181228","34",38.9130434782609
"O3","20181228","34",30.7826086956522
"SO2","20181228","34",4.58333333333333
"CO","20181228","35",0.354166666666667
"NO2","20181228","35",22.5833333333333
"O3","20181228","35",39.7916666666667
"SO2","20181228","35",8.91666666666667
"CO","20181227","1",0.508333333333333
"NO2","20181227","1",10.9583333333333
"O3","20181227","1",45.1666666666667
"SO2","20181227","1",1.875
"CO","20181227","2",0.458333333333333
"NO2","20181227","2",14
"O3","20181227","2",59.4166666666667
"SO2","20181227","2",6.66666666666667
"CO","20181227","3",0.316666666666667
"NO2","20181227","3",10.875
"O3","20181227","3",50.5416666666667
